Station (alphabetical by borough)	2013	2014	2015	2016	2017	2018	2017-2018 Change	2017-2018 Change	2018 Rank	LINE
Clark St  	"5,971"	"6,083"	"5,922"	"5,903"	"5,635"	"5,275"	-360	-6.40%	279	3-Feb
Classon Av 	"4,490"	"4,601"	"4,966"	"4,996"	"5,106"	"5,301"	195	3.80%	277	G
Cleveland St 	"3,328"	"3,467"	"3,514"	"3,483"	"3,270"	"2,975"	-295	-9.00%	369	J
Clinton-Washington    Avs  	"6,642"	"6,719"	"6,603"	"6,932"	"7,130"	"7,068"	-62	-0.90%	215	C
Clinton-Washington    Avs 	"5,294"	"5,178"	"5,364"	"5,312"	"5,083"	"5,025"	-58	-1.10%	286	G
Coney    Island-Stillwell Av    	"13,177"	"13,734"	"14,073"	"14,098"	"13,542"	"13,203"	-339	-2.50%	115	D-F-N-Q
Cortelyou Rd *	"5,318"	"5,727"	"6,220"	"6,332"	"6,348"	"6,276"	-72	-1.10%	244	Q
Court St /Borough Hall    	"38,428"	"38,944"	"38,559"	"38,089"	"36,762"	"35,599"	"-1,163"	-3.20%	28	R-2-3-4-5
Crescent St  	"4,683"	"4,925"	"5,073"	"5,053"	"4,842"	"4,539"	-303	-6.30%	308	J-Z
Crown    Heights-Utica Av  	"27,780"	"28,287"	"28,146"	"29,069"	"28,980"	"25,336"	"-3,644"	-12.60%	48	4-Mar
Cypress Hills 	"1,431"	"1,444"	"1,456"	"1,501"	"1,501"	"1,457"	-44	-2.90%	411	J
DeKalb Av    	"17,318"	"17,350"	"17,889"	"18,774"	"21,230"	"22,069"	839	4.00%	59	B-Q-R
DeKalb Av 	"11,617"	"11,943"	"12,158"	"12,307"	"13,050"	"12,638"	-412	-3.20%	120	L
Ditmas Av  *	"4,676"	"4,622"	"3,386"	"3,524"	"3,849"	"3,904"	55	1.40%	328	F
East 105 St 	"3,818"	"3,911"	"4,002"	"4,070"	"3,999"	"3,798"	-201	-5.00%	329	L
Eastern    Pkwy-Brooklyn Museum  	"4,938"	"4,889"	"4,915"	"4,719"	"4,592"	"4,637"	45	1.00%	303	3-Feb
Euclid Av  	"10,418"	"10,652"	"11,014"	"10,870"	"10,751"	"10,191"	-560	-5.20%	158	A-C
Flatbush    Av-Brooklyn College   	"21,941"	"21,865"	"21,666"	"21,268"	"20,691"	"19,763"	-928	-4.50%	68	5-Feb
Flushing Av 	"2,373"	"2,627"	"2,819"	"2,857"	"2,866"	"2,949"	83	2.90%	370	G
Flushing Av  	"9,165"	"9,258"	"9,483"	"9,347"	"8,952"	"8,336"	-616	-6.90%	183	J-M
Fort Hamilton    Pkwy 	"3,984"	"4,248"	"4,260"	"4,420"	"4,162"	"3,936"	-226	-5.40%	326	D
Fort Hamilton    Pkwy *	"5,531"	"5,650"	"5,783"	"6,044"	"5,893"	"5,807"	-86	-1.50%	260	F-G
Fort Hamilton Pkwy *	"7,034"	"7,244"	"6,964"	"1,771"	"3,196"	"3,232"	36	1.10%	353	N
Franklin Av    /Botanic Garden 	"15,775"	"15,787"	"15,866"	"15,834"	"15,269"	"14,581"	-688	-4.50%	102	2-3-4-5-S
Franklin Av  	"6,227"	"6,492"	"6,468"	"6,289"	"6,333"	"6,358"	25	0.40%	240	C-S
Fulton St 	"4,266"	"4,502"	"4,954"	"5,096"	"5,364"	"5,462"	98	1.80%	271	G
Gates Av  	"5,999"	"6,277"	"6,521"	"6,602"	"7,110"	"7,255"	145	2.00%	207	J-Z
Graham Av 	"10,136"	"10,643"	"10,504"	"10,483"	"10,536"	"9,959"	-577	-5.50%	160	L
Grand Army    Plaza  	"8,066"	"7,971"	"7,731"	"7,735"	"7,452"	"7,188"	-264	-3.50%	211	3-Feb
Grand St 	"7,444"	"7,824"	"7,307"	"6,977"	"7,317"	"6,964"	-353	-4.80%	220	L
Grant Av 	"6,270"	"6,475"	"6,696"	"7,044"	"6,318"	"5,896"	-422	-6.70%	257	A
Greenpoint Av *	"8,461"	"7,819"	"9,191"	"9,413"	"9,648"	"9,509"	-139	-1.40%	164	G
Halsey St 	"5,805"	"6,174"	"6,410"	"6,490"	"6,616"	"6,579"	-37	-0.60%	233	J
Halsey St 	"7,308"	"7,720"	"7,932"	"8,426"	"8,781"	"8,386"	-395	-4.50%	182	L
